Stimmart,AGS,"Landkreis-nummer","Gemeinde-nummer",Gemeindename,Art des Wahl-vorschlags,Kurzname,"MerkmalLangname",Anzahl,in Prozent,Sitze,darunter Sitze weiblich
Gemeindevertretung,12067120,67,120,"Eisenhüttenstadt, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,1719,5.8,2,0
Gemeindevertretung,12067120,67,120,"Eisenhüttenstadt, Stadt",WG,BVFO,"Bürgervereinigung ""Fürstenberg (Oder)""",3475,11.7,4,0
Gemeindevertretung,12067120,67,120,"Eisenhüttenstadt, Stadt",P,PIRATEN,Piratenpartei Deutschland,647,2.2,1,0
Gemeindevertretung,12067120,67,120,"Eisenhüttenstadt, Stadt",EB,EB Bublak,Einzelwahlvorschlag Bublak,596,2,0,0
Gemeindevertretung,12067124,67,124,"Erkner, Stadt",,Wahlberechtigt,Wahlberechtigt,10233,100,0,0
Gemeindevertretung,12067124,67,124,"Erkner, Stadt",,Wähler,Wähler,5731,56,0,0
Gemeindevertretung,12067124,67,124,"Erkner, Stadt",,Wahlschein,Wahlschein,1507,26.3,0,0
Gemeindevertretung,12067124,67,124,"Erkner, Stadt",,Gueltig,Gueltig,16233,94.4,0,0
Gemeindevertretung,12067124,67,124,"Erkner, Stadt",,Ungueltig,Ungueltig,252,4.4,0,0
Gemeindevertretung,12067124,67,124,"Erkner, Stadt",,Sitze,Sitze,22,100,0,0
Gemeindevertretung,12067124,67,124,"Erkner, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,6096,37.6,8,1
Gemeindevertretung,12067124,67,124,"Erkner, Stadt",P,DIE LINKE,DIE LINKE,4876,30,7,6
Gemeindevertretung,12067124,67,124,"Erkner, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,3193,19.7,4,0
Gemeindevertretung,12067124,67,124,"Erkner, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,2068,12.7,3,2
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",,Wahlberechtigt,Wahlberechtigt,2593,100,0,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",,Wähler,Wähler,1807,69.7,0,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",,Wahlschein,Wahlschein,220,12.2,0,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",,Gueltig,Gueltig,5265,97.1,0,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",,Ungueltig,Ungueltig,39,2.2,0,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",,Sitze,Sitze,16,100,0,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,153,2.9,1,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",P,DIE LINKE,DIE LINKE,1024,19.4,3,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,1035,19.7,3,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",WG,Burgförderverein,Burgförderverein e. V.,186,3.5,1,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",WG,WIR,WIR in Friedland,1137,21.6,3,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",EB,Becker,Einzelkandidat,183,3.5,1,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",EB,Geppert,Einzelkandidat,108,2.1,0,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",EB,Janke,Einzelkandidat,180,3.4,1,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",EB,Koschack,Einzelkandidat,587,11.1,2,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",EB,"Schulze, Ingo",Einzelkandidat,430,8.2,1,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",EB,"Schulze, Wolfgang",Einzelkandidat,99,1.9,0,0
Gemeindevertretung,12067137,67,137,"Friedland, Stadt",EB,Staar,Einzelkandidat,143,2.7,0,0
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",,Wahlberechtigt,Wahlberechtigt,26252,100,0,0
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",,Wähler,Wähler,12208,46.5,0,0
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",,Wahlschein,Wahlschein,2850,23.3,0,0
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",,Gueltig,Gueltig,35673,97.4,0,0
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",,Ungueltig,Ungueltig,220,1.8,0,0
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",,Sitze,Sitze,32,100,0,0
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,4012,11.2,4,2
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",P,DIE LINKE,DIE LINKE,5045,14.1,5,2
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",P,CDU,Christlich Demokratische Union Deutschlands,5302,14.9,5,1
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",WG,BFZ,Bündnis Fürstenwalder Zukunft e.V.,7610,21.3,7,4
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",P,AfD,Alternative für Deutschland,5979,16.8,5,0
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,3222,9,3,1
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",P,FDP,Freie Demokratische Partei,2475,6.9,2,1
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",P,PIRATEN,Piratenpartei Deutschland,381,1.1,0,0
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",P,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",1285,3.6,1,0
Gemeindevertretung,12067144,67,144,"Fürstenwalde/Spree, Stadt",EB,Scheffler,Einzelwahlvorschlag  Gerd Scheffler,362,1,0,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),,Wahlberechtigt,Wahlberechtigt,7399,100,0,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),,Wähler,Wähler,4614,62.4,0,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),,Wahlschein,Wahlschein,1154,25,0,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),,Gueltig,Gueltig,13495,97.5,0,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),,Ungueltig,Ungueltig,77,1.7,0,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),,Sitze,Sitze,18,100,0,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),P,SPD,Sozialdemokratische Partei Deutschlands,2324,17.2,3,1
Gemeindevertretung,12067201,67,201,Grünheide (Mark),P,DIE LINKE,DIE LINKE,2093,15.5,3,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),P,CDU,Christlich Demokratische Union Deutschlands,1130,8.4,2,1
Gemeindevertretung,12067201,67,201,Grünheide (Mark),WG,bürgerbündnis,bürgerbündnis,1817,13.5,2,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),P,AfD,Alternative für Deutschland,1548,11.5,2,1
Gemeindevertretung,12067201,67,201,Grünheide (Mark),P,FDP,Freie Demokratische Partei,710,5.3,1,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),WG,FF,Freiwillige Feuerwehr,1112,8.2,2,1
Gemeindevertretung,12067201,67,201,Grünheide (Mark),WG,ALG,Alternative Liste PRO GRÜNHEIDE,649,4.8,1,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),WG,Freie WG,Freie Wählergemeinschaft,772,5.7,1,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),WG,BfNH,Bündnis für Natur und Handwerk,303,2.2,0,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),WG,Gewerbe/Handwerk,Gewerbe/Handwerk,946,7,1,0
Gemeindevertretung,12067201,67,201,Grünheide (Mark),EB,EB Gerd Röhsgen,Einzelbewerber Gerd Röhsgen,91,0.7,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,,Wahlberechtigt,Wahlberechtigt,3552,100,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,,Wähler,Wähler,2368,66.7,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,,Wahlschein,Wahlschein,216,9.1,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,,Gueltig,Gueltig,6889,97,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,,Ungueltig,Ungueltig,55,2.3,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,,Sitze,Sitze,16,100,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,P,DIE LINKE,DIE LINKE,845,12.3,2,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,P,CDU,Christlich Demokratische Union Deutschlands,235,3.4,1,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,332,4.8,1,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,WG,B-J-A,Wählergruppe Bauern-Jäger-Angler,1079,15.7,3,1
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,P,PIRATEN,Piratenpartei Deutschland,119,1.7,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,WG,WG Feuerwehr,Wählergruppe Feuerwehr,658,9.6,2,1
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,EB,"EB Perlitz, Wilfried ","Einzelbewerber Perlitz, Wilfried ",321,4.7,1,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,WG,WG Alt Golm ,Wählergruppe Alt Golm ,346,5,1,1
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,EB,"EB Haase, Jörg ","Einzelbewerber Haase, Jörg ",198,2.9,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,EB,"EB Goy, Marcel","Einzelbewerber Goy, Marcel",201,2.9,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,EB,"EB Fraenkel, Manfred","Einzelbewerber Fraenkel, Manfred",39,0.6,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,EB,"EB Hartmann, Anne-Kathrin ","Einzelbewerber Hartmann, Anne-Kathrin ",198,2.9,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,EB,"EB Kiesow, Mario ","Einzelbewerber Kiesow, Mario ",502,7.3,1,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,EB,"EB Kuchenbecker, Hartmut","Einzelbewerber Kuchenbecker, Hartmut",637,9.2,2,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,EB,"EB Kussatz, Heike ","Einzelbewerber Kussatz, Heike ",138,2,0,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,EB,"EB Moede, Ralf ","Einzelbewerber Moede, Ralf ",246,3.6,1,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,EB,"EB Poeschke, Günter ","Einzelbewerber Poeschke, Günter ",594,8.6,1,0
Gemeindevertretung,12067426,67,426,Rietz-Neuendorf,EB,"EB Wulff, Jürgen ","Einzelbewerber Wulff, Jürgen ",201,2.9,0,0
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,,Wahlberechtigt,Wahlberechtigt,10861,100,0,0
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,,Wähler,Wähler,7211,66.4,0,0
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,,Wahlschein,Wahlschein,1770,24.5,0,0
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,,Gueltig,Gueltig,20953,96.9,0,0
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,,Ungueltig,Ungueltig,157,2.2,0,0
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,,Sitze,Sitze,22,100,0,0
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,P,SPD,Sozialdemokratische Partei Deutschlands,3340,15.9,3,2
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,P,DIE LINKE,DIE LINKE,3668,17.5,4,2
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,P,CDU,Christlich Demokratische Union Deutschlands,3163,15.1,3,2
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,LV,UBS/BBS,Listenvereinigung Unabhängige Bürger Schöneiche / BürgerBündnis Schöneiche,4380,20.9,5,2
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,2560,12.2,3,2
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,P,FDP,Freie Demokratische Partei,1063,5.1,1,0
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,P,PIRATEN,Piratenpartei Deutschland,463,2.2,0,0
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,PV,NF,Neues Forum Brandenburg,823,3.9,1,0
Gemeindevertretung,12067440,67,440,Schöneiche bei Berlin,WG,Schön,Schöneicher Liste,1493,7.1,2,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",,Wahlberechtigt,Wahlberechtigt,7855,100,0,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",,Wähler,Wähler,4879,62.1,0,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",,Wahlschein,Wahlschein,8,0.2,0,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",,Gueltig,Gueltig,14016,95.8,0,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",,Ungueltig,Ungueltig,121,2.5,0,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",,Sitze,Sitze,18,100,0,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",P,SPD,Sozialdemokratische Partei Deutschlands,3466,24.7,4,1
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",P,DIE LINKE,DIE LINKE,1270,9.1,2,2
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",P,CDU,Christlich Demokratische Union Deutschlands,966,6.9,1,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",WG,FWG,Freie Wählergemeinschaft Storkow,1981,14.1,3,1
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",P,AfD,Alternative für Deutschland,1881,13.4,2,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",P,FDP,Freie Demokratische Partei,287,2,0,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",WG,Neues Storkow,Neues Storkow,2744,19.6,4,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",EB,"Dr. Kney, Johann","Dr. Kney, Johann",397,2.8,1,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",WG,Verein Haus und Grund Storkow e.V.,Verein Haus und Grund Storkow e.V.,277,2,0,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",EB,"Graß, Enrico","Graß, Enrico",452,3.2,1,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",EB,"Neidthardt, Nico","Neidthardt, Nico",212,1.5,0,0
Gemeindevertretung,12067481,67,481,"Storkow (Mark), Stadt",EB,"Voß, Robert","Voß, Robert",83,0.6,0,0
Gemeindevertretung,12067493,67,493,Tauche,,Wahlberechtigt,Wahlberechtigt,3303,100,0,0
Gemeindevertretung,12067493,67,493,Tauche,,Wähler,Wähler,2127,64.4,0,0
Gemeindevertretung,12067493,67,493,Tauche,,Wahlschein,Wahlschein,317,14.9,0,0
Gemeindevertretung,12067493,67,493,Tauche,,Gueltig,Gueltig,6181,96.9,0,0
Gemeindevertretung,12067493,67,493,Tauche,,Ungueltig,Ungueltig,51,2.4,0,0
Gemeindevertretung,12067493,67,493,Tauche,,Sitze,Sitze,16,100,0,0
Gemeindevertretung,12067493,67,493,Tauche,P,SPD,Sozialdemokratische Partei Deutschlands,453,7.3,1,0
Gemeindevertretung,12067493,67,493,Tauche,P,DIE LINKE,DIE LINKE,437,7.1,1,1
Gemeindevertretung,12067493,67,493,Tauche,P,CDU,Christlich Demokratische Union Deutschlands,466,7.5,1,0
Gemeindevertretung,12067493,67,493,Tauche,P,FDP,Freie Demokratische Partei,206,3.3,1,0
Gemeindevertretung,12067493,67,493,Tauche,WG,FFW Gemeinde Tauche,Freiwillige Feuerwehr Gemeinde Tauche,830,13.4,2,1
Gemeindevertretung,12067493,67,493,Tauche,WG,Gesellschaft Ludwig Leichhardt e.V. Trebatsch,Gesellschaft Ludwig Leichhardt e.V. Trebatsch,465,7.5,1,0
Gemeindevertretung,12067493,67,493,Tauche,WG,Kleine Dörfer,Kleine Dörfer - Falkenberg,217,3.5,1,0
Gemeindevertretung,12067493,67,493,Tauche,WG,WG Giesensdorf/Wulfersdorf,Wählergemeinschaft Giesensdorf/Wulfersdorf,404,6.5,1,0
Gemeindevertretung,12067493,67,493,Tauche,EB,EB Kläber,Einzelwahlvorschlag Kläber,322,5.2,1,0
Gemeindevertretung,12067493,67,493,Tauche,WG,Wählervereinigung Briescht,Wählervereinigung Briescht,331,5.4,1,0
Gemeindevertretung,12067493,67,493,Tauche,EB,EB Bänsch,Einzelwahlvorschlag Bänsch,136,2.2,0,0
Gemeindevertretung,12067493,67,493,Tauche,EB,EB Bulligk,Einzelwahlvorschlag Bulligk,195,3.2,1,0
Gemeindevertretung,12067493,67,493,Tauche,EB,EB Erdmann,Einzelwahlvorschlag Erdmann,264,4.3,1,1
Gemeindevertretung,12067493,67,493,Tauche,EB,EB Paschke,Einzelwahlvorschlag Paschke,96,1.6,0,0
Gemeindevertretung,12067493,67,493,Tauche,EB,EB Reinicke,Einzelwahlvorschlag Reinicke,206,3.3,1,0
Gemeindevertretung,12067493,67,493,Tauche,EB,EB Rußig,Einzelwahlvorschlag Rußig,158,2.6,0,0
Gemeindevertretung,12067493,67,493,Tauche,WG,Stremmener Dorf e.V.,Stremmener Dorf e.V.,326,5.3,1,0
Gemeindevertretung,12067493,67,493,Tauche,WG,Taucher WG,Taucher Wählergruppe,518,8.4,1,0
Gemeindevertretung,12067493,67,493,Tauche,WG,WG Kossenblatt,Wählergemeinschaft Kossenblatt,151,2.4,0,0
Gemeindevertretung,12067544,67,544,Woltersdorf,,Wahlberechtigt,Wahlberechtigt,6928,100,0,0
Gemeindevertretung,12067544,67,544,Woltersdorf,,Wähler,Wähler,4685,67.6,0,0
Gemeindevertretung,12067544,67,544,Woltersdorf,,Wahlschein,Wahlschein,1160,24.8,0,0
Gemeindevertretung,12067544,67,544,Woltersdorf,,Gueltig,Gueltig,13571,96.6,0,0
Gemeindevertretung,12067544,67,544,Woltersdorf,,Ungueltig,Ungueltig,122,2.6,0,0
Gemeindevertretung,12067544,67,544,Woltersdorf,,Sitze,Sitze,18,100,0,0
Gemeindevertretung,12067544,67,544,Woltersdorf,P,SPD,Sozialdemokratische Partei Deutschlands,1975,14.6,3,2
Gemeindevertretung,12067544,67,544,Woltersdorf,P,DIE LINKE,DIE LINKE,1874,13.8,2,1
Gemeindevertretung,12067544,67,544,Woltersdorf,P,CDU,Christlich Demokratische Union Deutschlands,1851,13.6,2,0
Gemeindevertretung,12067544,67,544,Woltersdorf,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,1965,14.5,3,0
Gemeindevertretung,12067544,67,544,Woltersdorf,P,FDP,Freie Demokratische Partei,599,4.4,1,0
Gemeindevertretung,12067544,67,544,Woltersdorf,WG,UW,Wählergruppe Unser Woltersdorf,2161,15.9,3,0
Gemeindevertretung,12067544,67,544,Woltersdorf,WG,WBF,Wählergruppe Woltersdorfer Bürgerforum,2261,16.7,3,0
Gemeindevertretung,12067544,67,544,Woltersdorf,WG,FBW,Freie Bürger Woltersdorf,885,6.5,1,0
Gemeindevertretung,1206707601,67,076,Brieskow-Finkenheerd,,Wahlberechtigt,Wahlberechtigt,2032,100,0,0
Gemeindevertretung,1206707601,67,076,Brieskow-Finkenheerd,,Wähler,Wähler,1173,57.7,0,0
Gemeindevertretung,1206707601,67,076,Brieskow-Finkenheerd,,Wahlschein,Wahlschein,165,14.1,0,0
Gemeindevertretung,1206707601,67,076,Brieskow-Finkenheerd,,Gueltig,Gueltig,3378,96,0,0
Gemeindevertretung,1206707601,67,076,Brieskow-Finkenheerd,,Ungueltig,Ungueltig,36,3.1,0,0
Gemeindevertretung,1206707601,67,076,Brieskow-Finkenheerd,,Sitze,Sitze,12,100,0,0
Gemeindevertretung,1206707601,67,076,Brieskow-Finkenheerd,P,SPD,Sozialdemokratische Partei Deutschlands,1385,41,5,2
Gemeindevertretung,1206707601,67,076,Brieskow-Finkenheerd,P,DIE LINKE,DIE LINKE,720,21.3,3,0
Gemeindevertretung,1206707601,67,076,Brieskow-Finkenheerd,WG,WGBF,Wählergemeinschaft Brieskow-Finkenheerd ,1273,37.7,4,0
Gemeindevertretung,1206718001,67,180,Groß Lindow,,Wahlberechtigt,Wahlberechtigt,1497,100,0,0
Gemeindevertretung,1206718001,67,180,Groß Lindow,,Wähler,Wähler,962,64.3,0,0
Gemeindevertretung,1206718001,67,180,Groß Lindow,,Wahlschein,Wahlschein,148,15.4,0,0
Gemeindevertretung,1206718001,67,180,Groß Lindow,,Gueltig,Gueltig,2759,95.6,0,0
Gemeindevertretung,1206718001,67,180,Groß Lindow,,Ungueltig,Ungueltig,33,3.4,0,0
Gemeindevertretung,1206718001,67,180,Groß Lindow,,Sitze,Sitze,12,100,0,0
Gemeindevertretung,1206718001,67,180,Groß Lindow,WG,Bürger für Groß Lindow,Bürger für Groß Lindow,1144,41.5,5,1
Gemeindevertretung,1206718001,67,180,Groß Lindow,WG,FWG,Freie Wählergemeinschaft Groß Lindow ,1615,58.5,7,1
Gemeindevertretung,1206750801,67,508,Vogelsang,,Wahlberechtigt,Wahlberechtigt,631,100,0,0
Gemeindevertretung,1206750801,67,508,Vogelsang,,Wähler,Wähler,458,72.6,0,0
Gemeindevertretung,1206750801,67,508,Vogelsang,,Wahlschein,Wahlschein,37,8.1,0,0
Gemeindevertretung,1206750801,67,508,Vogelsang,,Gueltig,Gueltig,1196,87,0,0
Gemeindevertretung,1206750801,67,508,Vogelsang,,Ungueltig,Ungueltig,15,3.3,0,0
Gemeindevertretung,1206750801,67,508,Vogelsang,,Sitze,Sitze,10,100,0,0
Gemeindevertretung,1206750801,67,508,Vogelsang,P,SPD,Sozialdemokratische Partei Deutschlands,70,5.9,1,0
Gemeindevertretung,1206750801,67,508,Vogelsang,WG,FWV,Freie Wählergemeinschaft Vogelsang,1073,89.7,9,4
Gemeindevertretung,1206750801,67,508,Vogelsang,EB,EB Markus Benkenstein,Einzelwahlvorschlag Markus Benkenstein,53,4.4,0,0
Gemeindevertretung,1206752801,67,528,Wiesenau,,Wahlberechtigt,Wahlberechtigt,1107,100,0,0
Gemeindevertretung,1206752801,67,528,Wiesenau,,Wähler,Wähler,740,66.8,0,0
Gemeindevertretung,1206752801,67,528,Wiesenau,,Wahlschein,Wahlschein,89,12,0,0
Gemeindevertretung,1206752801,67,528,Wiesenau,,Gueltig,Gueltig,2128,95.9,0,0
Gemeindevertretung,1206752801,67,528,Wiesenau,,Ungueltig,Ungueltig,21,2.8,0,0
Gemeindevertretung,1206752801,67,528,Wiesenau,,Sitze,Sitze,10,100,0,0
Gemeindevertretung,1206752801,67,528,Wiesenau,P,CDU,Christlich Demokratische Union Deutschlands,303,14.2,1,1
Gemeindevertretung,1206752801,67,528,Wiesenau,P,AfD,Alternative für Deutschland,270,12.7,1,0
Gemeindevertretung,1206752801,67,528,Wiesenau,WG,WJWS,"Wählergruppe für Jugend, Wirtschaft und Sport",948,44.5,5,0
Gemeindevertretung,1206752801,67,528,Wiesenau,WG,FBW,Freie Bürgervereinigung Wiesenau,607,28.5,3,1
Gemeindevertretung,1206755201,67,552,Ziltendorf,,Wahlberechtigt,Wahlberechtigt,1292,100,0,0
Gemeindevertretung,1206755201,67,552,Ziltendorf,,Wähler,Wähler,841,65.1,0,0
Gemeindevertretung,1206755201,67,552,Ziltendorf,,Wahlschein,Wahlschein,110,13.1,0,0
Gemeindevertretung,1206755201,67,552,Ziltendorf,,Gueltig,Gueltig,2422,96,0,0
Gemeindevertretung,1206755201,67,552,Ziltendorf,,Ungueltig,Ungueltig,18,2.1,0,0
Gemeindevertretung,1206755201,67,552,Ziltendorf,,Sitze,Sitze,12,100,0,0
Gemeindevertretung,1206755201,67,552,Ziltendorf,P,SPD,Sozialdemokratische Partei Deutschlands,217,9,1,0
Gemeindevertretung,1206755201,67,552,Ziltendorf,P,CDU,Christlich Demokratische Union Deutschlands,958,39.6,5,0
Gemeindevertretung,1206755201,67,552,Ziltendorf,WG,WVZI,Wählervereinigung Ziltendorfer Niederung,435,18,2,0
Gemeindevertretung,1206755201,67,552,Ziltendorf,EB,EB Stefan Lehmann,Einzelwahlvorschlag Stefan Lehmann,358,14.8,2,0
Gemeindevertretung,1206755201,67,552,Ziltendorf,EB,EB Axel Borchert,Einzelwahlvorschlag Axel Borchert,232,9.6,1,0
Gemeindevertretung,1206755201,67,552,Ziltendorf,EB,EB Marko Schäfer,Einzelwahlvorschlag Marko Schäfer,222,9.2,1,0
Gemeindevertretung,1206729205,67,292,Lawitz,,Wahlberechtigt,Wahlberechtigt,495,100,0,0
Gemeindevertretung,1206729205,67,292,Lawitz,,Wähler,Wähler,388,78.4,0,0
Gemeindevertretung,1206729205,67,292,Lawitz,,Wahlschein,Wahlschein,50,12.9,0,0
Gemeindevertretung,1206729205,67,292,Lawitz,,Gueltig,Gueltig,1134,97.4,0,0
Gemeindevertretung,1206729205,67,292,Lawitz,,Ungueltig,Ungueltig,6,1.5,0,0
Gemeindevertretung,1206729205,67,292,Lawitz,,Sitze,Sitze,8,100,0,0
Gemeindevertretung,1206729205,67,292,Lawitz,WG,BfL,Bürger für Lawitz,731,64.5,5,3
Gemeindevertretung,1206729205,67,292,Lawitz,WG,ALB,Allianz Lawitzer Bürger,403,35.5,3,1
Gemeindevertretung,1206733805,67,338,Neißemünde,,Wahlberechtigt,Wahlberechtigt,1414,100,0,0
Gemeindevertretung,1206733805,67,338,Neißemünde,,Wähler,Wähler,965,68.2,0,0
Gemeindevertretung,1206733805,67,338,Neißemünde,,Wahlschein,Wahlschein,123,12.7,0,0
Gemeindevertretung,1206733805,67,338,Neißemünde,,Gueltig,Gueltig,2795,96.5,0,0
Gemeindevertretung,1206733805,67,338,Neißemünde,,Ungueltig,Ungueltig,25,2.6,0,0
Gemeindevertretung,1206733805,67,338,Neißemünde,,Sitze,Sitze,12,100,0,0
Gemeindevertretung,1206733805,67,338,Neißemünde,P,CDU,Christlich Demokratische Union Deutschlands,80,2.9,0,0
Gemeindevertretung,1206733805,67,338,Neißemünde,P,GRÜNE/B 90,BÜNDNIS 90/DIE GRÜNEN,108,3.9,0,0
Gemeindevertretung,1206733805,67,338,Neißemünde,WG,ZN,Zukunft Neißemünde,1430,51.2,7,2
Gemeindevertretung,1206733805,67,338,Neißemünde,WG,WL,Wellmitzer Liste,1120,40.1,5,3
Gemeindevertretung,1206733805,67,338,Neißemünde,EB,Dietmar Helm,Dietmar Helm,57,2,0,0
Gemeindevertretung,1206735705,67,357,Neuzelle,,Wahlberechtigt,Wahlberechtigt,3627,100,0,0
